token,key,train_document_frequency,test_document_frequency
gene=PIK3CG|family=substitution:no_change,family,51,41
gene=PIK3CG|subfamily=no_change,subfamily,51,41
gene=PLOD2|family=substitution:missense,family,51,35
gene=PLOD2|subfamily=missense,subfamily,51,35
gene=PREX1|family=substitution:no_change,family,51,44
gene=PREX1|subfamily=no_change,subfamily,51,44
gene=RNASEL|family=substitution:missense,family,51,26
gene=RNASEL|subfamily=missense,subfamily,51,26
gene=SAMD9L|subfamily=no_change,subfamily,51,27
gene=SLC12A3|family=substitution:no_change,family,51,40
gene=SLC12A3|subfamily=no_change,subfamily,51,40
gene=TGFBRAP1|family=substitution:missense,family,51,47
gene=TGFBRAP1|subfamily=missense,subfamily,51,47
gene=TSC1|family=substitution:missense,family,51,43
gene=TSC1|subfamily=missense,subfamily,51,43
gene=TUBGCP5|family=substitution:missense,family,51,30
gene=TUBGCP5|subfamily=missense,subfamily,51,30
gene=RETSAT|family=substitution:missense,family,49,51
gene=RETSAT|subfamily=missense,subfamily,49,51
gene=ATP1A1|family=substitution:missense,family,47,51
gene=ATP1A1|subfamily=missense,subfamily,47,51
gene=EXO1|family=substitution:missense,family,45,51
gene=EXO1|subfamily=missense,subfamily,45,51
gene=FBXW7|family=substitution:nonsense,family,32,51
gene=FBXW7|subfamily=nonsense,subfamily,32,51
gene=TMEM8B|family=substitution:missense,family,24,51
gene=TMEM8B|subfamily=missense,subfamily,24,51
gene=OGFR|family=substitution:no_change,family,22,51
gene=OGFR|position_bin=501-600,position_bin,22,51
gene=OGFR|subfamily=no_change,subfamily,22,51
gene=USH1C|family=substitution:no_change,family,18,51
gene=USH1C|subfamily=no_change,subfamily,18,51
gene=CFH|position_bin=1001-1100,position_bin,14,51
gene=INHBB|family=substitution:no_change,family,14,51
gene=INHBB|subfamily=no_change,subfamily,14,51
gene=IDUA|position_bin=401-500,position_bin,2,51
gene=ACLY|family=frameshift,family,1,51
gene=ACLY|parse_status=partial,parse_status,1,51
gene=ACSL6|family=substitution:missense,family,50,31
gene=ACSL6|subfamily=missense,subfamily,50,31
gene=ACTN2|family=substitution:no_change,family,50,35
gene=ACTN2|subfamily=no_change,subfamily,50,35
gene=ACVR1B|family=substitution:missense,family,50,35
gene=ACVR1B|subfamily=missense,subfamily,50,35
gene=AP3B1|family=substitution:missense,family,50,39
gene=AP3B1|subfamily=missense,subfamily,50,39
gene=CMKLR1|family=substitution:missense,family,50,33
gene=CMKLR1|subfamily=missense,subfamily,50,33
gene=CUL3|family=substitution:missense,family,50,37
gene=CUL3|subfamily=missense,subfamily,50,37
gene=DENND5A|family=substitution:missense,family,50,49
gene=DENND5A|subfamily=missense,subfamily,50,49
gene=ECT2|family=substitution:missense,family,50,30
gene=ECT2|subfamily=missense,subfamily,50,30
gene=EGFR|family=substitution:no_change,family,50,50
gene=EGFR|subfamily=no_change,subfamily,50,50
gene=ELN|family=substitution:missense,family,50,34
gene=ELN|subfamily=missense,subfamily,50,34
gene=EVI5|family=substitution:missense,family,50,24
gene=EVI5|subfamily=missense,subfamily,50,24
gene=GNAS|position_bin=201-300,position_bin,50,50
gene=HRG|family=substitution:missense,family,50,36
gene=HRG|subfamily=missense,subfamily,50,36
gene=IGSF1|family=substitution:no_change,family,50,27
gene=IGSF1|subfamily=no_change,subfamily,50,27
gene=ITGB3|family=substitution:missense,family,50,41
gene=ITGB3|subfamily=missense,subfamily,50,41
gene=KALRN|position_bin=1-100,position_bin,50,9
gene=LONP2|family=substitution:missense,family,50,34
gene=LONP2|subfamily=missense,subfamily,50,34
gene=LPIN2|family=substitution:missense,family,50,29
gene=LPIN2|subfamily=missense,subfamily,50,29
gene=MAML2|family=substitution:missense,family,50,40
gene=MAML2|subfamily=missense,subfamily,50,40
gene=MTHFD1|family=substitution:missense,family,50,33
gene=MTHFD1|subfamily=missense,subfamily,50,33
gene=MYBL2|family=substitution:missense,family,50,39
gene=MYBL2|subfamily=missense,subfamily,50,39
gene=NFKBIZ|family=substitution:missense,family,50,22
gene=NFKBIZ|subfamily=missense,subfamily,50,22
gene=NNT|family=substitution:missense,family,50,46
gene=NNT|subfamily=missense,subfamily,50,46
gene=OAS3|family=substitution:missense,family,50,43
gene=OAS3|subfamily=missense,subfamily,50,43
gene=PCLO|family=substitution:nonsense,family,50,19
gene=PCLO|subfamily=nonsense,subfamily,50,19
gene=PCSK1|family=substitution:missense,family,50,48
gene=PCSK1|subfamily=missense,subfamily,50,48
gene=PLCB4|family=substitution:no_change,family,50,21
gene=PLCB4|subfamily=no_change,subfamily,50,21
gene=SAMD9L|family=substitution:no_change,family,50,27
gene=SEC31A|family=substitution:missense,family,50,28
gene=SEC31A|subfamily=missense,subfamily,50,28
gene=SLC25A13|family=substitution:missense,family,50,36
gene=SLC25A13|subfamily=missense,subfamily,50,36
gene=STAT4|family=substitution:missense,family,50,35
gene=STAT4|subfamily=missense,subfamily,50,35
gene=TLR3|family=substitution:missense,family,50,39
gene=TLR3|subfamily=missense,subfamily,50,39
gene=YTHDC1|family=substitution:missense,family,50,36
gene=YTHDC1|subfamily=missense,subfamily,50,36
gene=EPHB4|family=substitution:missense,family,49,50
gene=EPHB4|subfamily=missense,subfamily,49,50
gene=MAPT|family=substitution:missense,family,45,50
gene=MAPT|subfamily=missense,subfamily,45,50
gene=ABR|family=substitution:missense,family,43,50
gene=ABR|subfamily=missense,subfamily,43,50
gene=PKP1|family=substitution:missense,family,37,50
gene=PKP1|subfamily=missense,subfamily,37,50
gene=KDM4B|family=substitution:no_change,family,35,50
gene=KDM4B|subfamily=no_change,subfamily,35,50
gene=NR4A3|family=substitution:missense,family,30,50
gene=NR4A3|subfamily=missense,subfamily,30,50
gene=DTX2|family=substitution:no_change,family,28,50
gene=DTX2|subfamily=no_change,subfamily,28,50
gene=PGR|position_bin=201-300,position_bin,12,50
gene=RAPGEFL1|family=substitution:no_change,family,10,50
gene=RAPGEFL1|subfamily=no_change,subfamily,10,50
gene=PAX6|family=frameshift,family,8,50
gene=PAX6|parse_status=partial,parse_status,8,50
gene=DOP1A|family=substitution:missense,family,0,50
gene=DOP1A|subfamily=missense,subfamily,0,50
gene=ACSM1|family=substitution:missense,family,49,26
gene=ACSM1|subfamily=missense,subfamily,49,26
gene=AHR|family=substitution:missense,family,49,35
gene=AHR|subfamily=missense,subfamily,49,35
gene=ATP1A3|family=substitution:no_change,family,49,30
gene=ATP1A3|subfamily=no_change,subfamily,49,30
gene=CADM1|family=substitution:missense,family,49,29
gene=CADM1|subfamily=missense,subfamily,49,29
gene=CBL|family=substitution:missense,family,49,33
gene=CBL|subfamily=missense,subfamily,49,33
gene=COL4A1|family=substitution:no_change,family,49,49
gene=COL4A1|subfamily=no_change,subfamily,49,49
gene=ESR1|family=substitution:missense,family,49,43
gene=ESR1|subfamily=missense,subfamily,49,43
gene=GBP4|family=substitution:missense,family,49,31
gene=GBP4|subfamily=missense,subfamily,49,31
gene=GPHN|family=substitution:missense,family,49,37
gene=GPHN|subfamily=missense,subfamily,49,37
gene=HERC3|family=substitution:missense,family,49,32
gene=HERC3|subfamily=missense,subfamily,49,32
gene=HK1|family=substitution:missense,family,49,41
gene=HK1|subfamily=missense,subfamily,49,41
gene=IFIH1|family=substitution:missense,family,49,43
gene=IFIH1|subfamily=missense,subfamily,49,43
gene=IL18R1|family=substitution:missense,family,49,24
gene=IL18R1|subfamily=missense,subfamily,49,24
gene=IL6ST|family=substitution:missense,family,49,41
gene=IL6ST|subfamily=missense,subfamily,49,41
gene=IPO7|family=substitution:missense,family,49,32
gene=IPO7|subfamily=missense,subfamily,49,32
gene=LAMB3|family=substitution:no_change,family,49,36
gene=LAMB3|subfamily=no_change,subfamily,49,36
gene=LTBP1|family=substitution:no_change,family,49,40
gene=LTBP1|subfamily=no_change,subfamily,49,40
gene=MAML1|family=substitution:missense,family,49,40
gene=MAML1|subfamily=missense,subfamily,49,40
gene=MOCOS|family=substitution:missense,family,49,49
gene=MOCOS|subfamily=missense,subfamily,49,49
gene=MTOR|family=substitution:no_change,family,49,33
gene=MTOR|subfamily=no_change,subfamily,49,33
gene=MTRR|family=substitution:missense,family,49,38
gene=MTRR|subfamily=missense,subfamily,49,38
gene=OAS2|family=substitution:missense,family,49,27
gene=OAS2|subfamily=missense,subfamily,49,27
gene=OPRK1|family=substitution:missense,family,49,39
gene=OPRK1|subfamily=missense,subfamily,49,39
gene=PIK3R5|family=substitution:missense,family,49,45
gene=PIK3R5|subfamily=missense,subfamily,49,45
gene=PTCH1|family=substitution:no_change,family,49,29
gene=PTCH1|subfamily=no_change,subfamily,49,29
gene=RREB1|family=substitution:no_change,family,49,42
gene=RREB1|subfamily=no_change,subfamily,49,42
gene=SLIT1|family=substitution:no_change,family,49,35
gene=SLIT1|subfamily=no_change,subfamily,49,35
gene=SYNE1|aa_transition=E>K,aa_transition,49,10
gene=SYNE1|aa_transition=L>L,aa_transition,49,19
gene=XPO1|family=substitution:missense,family,49,41
gene=XPO1|subfamily=missense,subfamily,49,41
gene=IGF2R|family=substitution:no_change,family,48,49
gene=IGF2R|subfamily=no_change,subfamily,48,49
gene=PAPOLB|family=substitution:missense,family,45,49
gene=PAPOLB|subfamily=missense,subfamily,45,49
gene=CDH15|family=substitution:missense,family,44,49
gene=CDH15|subfamily=missense,subfamily,44,49
gene=KYNU|family=substitution:missense,family,44,49
gene=KYNU|subfamily=missense,subfamily,44,49
gene=SHROOM2|family=substitution:no_change,family,42,49
gene=SHROOM2|subfamily=no_change,subfamily,42,49
gene=COL4A2|family=substitution:no_change,family,36,49
gene=COL4A2|subfamily=no_change,subfamily,36,49
gene=KAZN|family=substitution:missense,family,33,49
gene=KAZN|subfamily=missense,subfamily,33,49
gene=WEE1|family=substitution:missense,family,23,49
gene=WEE1|subfamily=missense,subfamily,23,49
gene=ODF1|position_bin=201-300,position_bin,18,49
gene=UBC|position_bin=201-300,position_bin,18,49
gene=MAPK8IP2|family=substitution:missense,family,16,49
gene=MAPK8IP2|subfamily=missense,subfamily,16,49
gene=KMT2D|position_bin=801-900,position_bin,10,49
gene=TAF1C|position_bin=201-300,position_bin,6,49
gene=ACLY|frameshift_first_new_aa=S,frameshift_first_new_aa,0,49
gene=ACLY|frameshift_grammar=ref_position_alt,frameshift_grammar,0,49
gene=ACLY|subfamily=ref_position_alt,subfamily,0,49
gene=CDC42EP1|aa_transition=T>P,aa_transition,0,49
gene=ACSL4|family=substitution:missense,family,48,14
gene=ACSL4|subfamily=missense,subfamily,48,14
gene=ACTC1|family=substitution:missense,family,48,34
gene=ACTC1|subfamily=missense,subfamily,48,34
gene=ARHGEF7|family=substitution:missense,family,48,45
gene=ARHGEF7|subfamily=missense,subfamily,48,45
gene=AUTS2|family=substitution:no_change,family,48,44
gene=AUTS2|subfamily=no_change,subfamily,48,44
gene=CACNA2D2|family=substitution:missense,family,48,46
gene=CACNA2D2|subfamily=missense,subfamily,48,46
gene=CSE1L|family=substitution:missense,family,48,26
gene=CSE1L|subfamily=missense,subfamily,48,26
gene=CYP4A22|family=substitution:missense,family,48,27
gene=CYP4A22|subfamily=missense,subfamily,48,27
gene=DDX4|family=substitution:missense,family,48,36
gene=DDX4|subfamily=missense,subfamily,48,36
gene=DGCR8|family=substitution:missense,family,48,34
gene=DGCR8|subfamily=missense,subfamily,48,34
gene=EPB41L3|family=substitution:no_change,family,48,21
gene=EPB41L3|subfamily=no_change,subfamily,48,21
gene=ERCC4|family=substitution:missense,family,48,31
gene=ERCC4|subfamily=missense,subfamily,48,31
gene=IKZF1|family=substitution:missense,family,48,46
gene=IKZF1|subfamily=missense,subfamily,48,46
gene=ITGAV|family=substitution:missense,family,48,34
gene=ITGAV|subfamily=missense,subfamily,48,34
gene=ITGB1|family=substitution:missense,family,48,29
gene=ITGB1|subfamily=missense,subfamily,48,29
gene=ITGB4|family=substitution:no_change,family,48,47
gene=ITGB4|subfamily=no_change,subfamily,48,47
gene=ITIH3|family=substitution:missense,family,48,48
gene=ITIH3|subfamily=missense,subfamily,48,48
gene=KAT2B|family=substitution:missense,family,48,37
gene=KAT2B|subfamily=missense,subfamily,48,37
gene=KDM3A|family=substitution:missense,family,48,39
gene=KDM3A|subfamily=missense,subfamily,48,39
gene=KRT31|family=substitution:missense,family,48,26
gene=KRT31|subfamily=missense,subfamily,48,26
gene=LIG3|family=substitution:missense,family,48,25
gene=LIG3|subfamily=missense,subfamily,48,25
gene=MAN1A1|family=substitution:missense,family,48,20
gene=MAN1A1|subfamily=missense,subfamily,48,20
gene=MAP3K1|family=frameshift,family,48,13
gene=MAP3K1|parse_status=partial,parse_status,48,13
gene=NEDD4L|family=substitution:missense,family,48,36
gene=NEDD4L|subfamily=missense,subfamily,48,36
gene=NEXN|family=substitution:missense,family,48,43
gene=NEXN|subfamily=missense,subfamily,48,43
gene=NTRK3|family=substitution:no_change,family,48,34
gene=NTRK3|subfamily=no_change,subfamily,48,34
gene=PAN2|family=substitution:missense,family,48,39
gene=PAN2|subfamily=missense,subfamily,48,39
gene=PARP9|family=substitution:missense,family,48,24
gene=PARP9|subfamily=missense,subfamily,48,24
gene=PLCB1|family=substitution:no_change,family,48,36
gene=PLCB1|subfamily=no_change,subfamily,48,36
gene=PTPRM|family=substitution:no_change,family,48,30
gene=PTPRM|subfamily=no_change,subfamily,48,30
gene=RET|family=substitution:no_change,family,48,43
gene=RET|subfamily=no_change,subfamily,48,43
gene=SCN8A|family=substitution:no_change,family,48,27
gene=SCN8A|subfamily=no_change,subfamily,48,27
gene=SEC24D|family=substitution:missense,family,48,37
gene=SEC24D|subfamily=missense,subfamily,48,37
gene=SIDT2|family=substitution:missense,family,48,29
gene=SIDT2|subfamily=missense,subfamily,48,29
gene=SLC12A4|family=substitution:missense,family,48,43
gene=SLC12A4|subfamily=missense,subfamily,48,43
gene=SREBF2|family=substitution:missense,family,48,37
gene=SREBF2|subfamily=missense,subfamily,48,37
gene=SYBU|family=substitution:missense,family,48,40
gene=SYBU|subfamily=missense,subfamily,48,40
gene=TLE4|family=substitution:missense,family,48,40
gene=TLE4|subfamily=missense,subfamily,48,40
gene=UTP20|family=substitution:no_change,family,48,27
gene=UTP20|subfamily=no_change,subfamily,48,27
gene=VAV2|family=substitution:missense,family,48,42
gene=VAV2|subfamily=missense,subfamily,48,42
gene=WWP1|family=substitution:missense,family,48,30
gene=WWP1|subfamily=missense,subfamily,48,30
gene=SYNPO|family=substitution:missense,family,45,48
gene=SYNPO|subfamily=missense,subfamily,45,48
gene=CROCC|subfamily=no_change,subfamily,39,48
gene=CROCC|family=substitution:no_change,family,38,48
gene=SMURF2|family=substitution:missense,family,37,48
gene=SMURF2|subfamily=missense,subfamily,37,48
gene=TAF1C|family=substitution:missense,family,37,48
gene=TAF1C|subfamily=missense,subfamily,37,48
gene=NEFH|family=substitution:no_change,family,35,48
gene=NEFH|subfamily=no_change,subfamily,35,48
gene=XPC|family=substitution:missense,family,32,48
gene=XPC|subfamily=missense,subfamily,32,48
gene=MAML2|aa_transition=Q>Q,aa_transition,29,48
gene=NCOA3|position_bin=1201-1300,position_bin,26,48
gene=CBX3|position_bin=1-100,position_bin,13,48
gene=VPS37B|position_bin=201-300,position_bin,11,48
gene=ZBTB10|position_bin=101-200,position_bin,2,48
gene=ABCC1|family=substitution:no_change,family,47,24
gene=ABCC1|subfamily=no_change,subfamily,47,24
gene=ACACA|family=substitution:no_change,family,47,39
gene=ACACA|subfamily=no_change,subfamily,47,39
gene=AKAP13|family=substitution:no_change,family,47,37
gene=AKAP13|subfamily=no_change,subfamily,47,37
gene=ALAS2|family=substitution:missense,family,47,30
gene=ALAS2|subfamily=missense,subfamily,47,30
gene=APP|family=substitution:missense,family,47,28
gene=APP|subfamily=missense,subfamily,47,28
gene=ATP2C1|family=substitution:missense,family,47,27
gene=ATP2C1|subfamily=missense,subfamily,47,27
gene=BCAM|family=substitution:missense,family,47,44
gene=BCAM|subfamily=missense,subfamily,47,44
gene=CALCRL|family=substitution:missense,family,47,28
gene=CALCRL|subfamily=missense,subfamily,47,28
gene=CCNA1|family=substitution:missense,family,47,28
gene=CCNA1|subfamily=missense,subfamily,47,28
gene=CDH6|family=substitution:no_change,family,47,22
gene=CDH6|subfamily=no_change,subfamily,47,22
gene=CR1|family=substitution:no_change,family,47,31
gene=CR1|subfamily=no_change,subfamily,47,31
gene=CROT|family=substitution:missense,family,47,29
gene=CROT|subfamily=missense,subfamily,47,29
gene=CYP1A1|family=substitution:missense,family,47,23
gene=CYP1A1|subfamily=missense,subfamily,47,23
gene=DHX16|family=substitution:missense,family,47,28
gene=DHX16|subfamily=missense,subfamily,47,28
gene=DLG1|family=substitution:missense,family,47,37
gene=DLG1|subfamily=missense,subfamily,47,37
gene=EXT1|family=substitution:missense,family,47,35
gene=EXT1|subfamily=missense,subfamily,47,35
gene=F2|family=substitution:missense,family,47,34
gene=F2|subfamily=missense,subfamily,47,34
gene=FGFR1|family=substitution:missense,family,47,38
gene=FGFR1|subfamily=missense,subfamily,47,38
gene=FRK|family=substitution:missense,family,47,25
gene=FRK|subfamily=missense,subfamily,47,25
gene=GFRA1|family=substitution:missense,family,47,35
gene=GFRA1|subfamily=missense,subfamily,47,35
gene=HCLS1|family=substitution:missense,family,47,26
gene=HCLS1|subfamily=missense,subfamily,47,26
gene=HNF1A|family=substitution:missense,family,47,28
gene=HNF1A|subfamily=missense,subfamily,47,28
gene=IDH1|aa_transition=R>C,aa_transition,47,13
gene=IL12RB1|family=substitution:missense,family,47,34
gene=IL12RB1|subfamily=missense,subfamily,47,34
gene=IL1RL1|family=substitution:missense,family,47,36
gene=IL1RL1|subfamily=missense,subfamily,47,36
gene=KCNH1|family=substitution:no_change,family,47,19
gene=KCNH1|subfamily=no_change,subfamily,47,19
gene=KCNJ8|family=substitution:missense,family,47,20
gene=KCNJ8|subfamily=missense,subfamily,47,20
gene=KIF5B|family=substitution:missense,family,47,27
gene=KIF5B|subfamily=missense,subfamily,47,27
gene=LRRC8C|family=substitution:missense,family,47,41
gene=LRRC8C|subfamily=missense,subfamily,47,41
gene=LUM|family=substitution:missense,family,47,29
gene=LUM|subfamily=missense,subfamily,47,29
gene=ME1|family=substitution:missense,family,47,29
gene=ME1|subfamily=missense,subfamily,47,29
gene=MLLT10|family=substitution:missense,family,47,41
gene=MLLT10|subfamily=missense,subfamily,47,41
gene=MMP13|family=substitution:missense,family,47,27
gene=MMP13|subfamily=missense,subfamily,47,27
gene=NCR1|family=substitution:missense,family,47,16
gene=NCR1|subfamily=missense,subfamily,47,16
gene=PTPRC|family=substitution:no_change,family,47,27
gene=PTPRC|subfamily=no_change,subfamily,47,27
gene=RABGAP1L|family=substitution:missense,family,47,39
gene=RABGAP1L|subfamily=missense,subfamily,47,39
gene=RPS6KA2|family=substitution:missense,family,47,43
gene=RPS6KA2|subfamily=missense,subfamily,47,43
gene=TAT|family=substitution:missense,family,47,24
gene=TAT|subfamily=missense,subfamily,47,24
gene=TLR1|family=substitution:missense,family,47,47
gene=TLR1|subfamily=missense,subfamily,47,47
gene=TRO|family=substitution:no_change,family,47,30
gene=TRO|subfamily=no_change,subfamily,47,30
gene=USP15|family=substitution:missense,family,47,36
gene=USP15|subfamily=missense,subfamily,47,36
gene=VCL|family=substitution:missense,family,47,41
gene=VCL|subfamily=missense,subfamily,47,41
gene=XPO7|family=substitution:missense,family,47,35
gene=XPO7|subfamily=missense,subfamily,47,35
gene=C1R|family=substitution:missense,family,35,47
gene=C1R|subfamily=missense,subfamily,35,47
gene=MYO1C|family=substitution:missense,family,34,47
gene=MYO1C|subfamily=missense,subfamily,34,47
gene=FOXO1|family=substitution:missense,family,30,47
gene=FOXO1|subfamily=missense,subfamily,30,47
gene=FZD2|family=substitution:no_change,family,29,47
gene=FZD2|subfamily=no_change,subfamily,29,47
gene=BAIAP2|family=substitution:missense,family,26,47
gene=BAIAP2|subfamily=missense,subfamily,26,47
gene=PAX6|position_bin=101-200,position_bin,25,47
gene=MAP6|family=substitution:no_change,family,18,47
gene=MAP6|subfamily=no_change,subfamily,18,47
gene=CES1|family=substitution:no_change,family,17,47
gene=CES1|subfamily=no_change,subfamily,17,47
gene=LMO2|family=substitution:missense,family,16,47
gene=LMO2|subfamily=missense,subfamily,16,47
gene=SYNJ2|position_bin=801-900,position_bin,8,47
gene=SOX9|position_bin=301-400,position_bin,5,47
gene=NRXN2|position_bin=1401-1500,position_bin,3,47
gene=CACNA1A|aa_transition=T>P,aa_transition,0,47
gene=GRINA|aa_transition=Q>P,aa_transition,0,47
gene=PAX6|frameshift_grammar=ref_position_alt,frameshift_grammar,0,47
gene=PAX6|subfamily=ref_position_alt,subfamily,0,47
gene=TARP|aa_transition=M>T,aa_transition,0,47
gene=ABCB1|family=substitution:no_change,family,46,14
gene=ABCB1|subfamily=no_change,subfamily,46,14
gene=AGO4|family=substitution:missense,family,46,35
gene=AGO4|subfamily=missense,subfamily,46,35
gene=AKT2|family=substitution:missense,family,46,20
gene=AKT2|subfamily=missense,subfamily,46,20
gene=ALOX12B|family=substitution:missense,family,46,43
gene=ALOX12B|subfamily=missense,subfamily,46,43
gene=ATRX|frameshift_grammar=ref_alt_before_position,frameshift_grammar,46,6
gene=ATRX|subfamily=ref_alt_before_position,subfamily,46,6
gene=COL17A1|family=substitution:no_change,family,46,24
gene=COL17A1|subfamily=no_change,subfamily,46,24
gene=CYP2C18|family=substitution:missense,family,46,30
gene=CYP2C18|subfamily=missense,subfamily,46,30
gene=DCN|family=substitution:missense,family,46,23
gene=DCN|subfamily=missense,subfamily,46,23
gene=DLG5|family=substitution:no_change,family,46,39
gene=DLG5|subfamily=no_change,subfamily,46,39
gene=EDIL3|family=substitution:missense,family,46,27
gene=EDIL3|subfamily=missense,subfamily,46,27
gene=FAM120A|family=substitution:missense,family,46,39
gene=FAM120A|subfamily=missense,subfamily,46,39
gene=GNAS|position_bin=1-100,position_bin,46,29
gene=GYS1|family=substitution:missense,family,46,30
gene=GYS1|subfamily=missense,subfamily,46,30
gene=HOOK3|family=substitution:missense,family,46,25
gene=HOOK3|subfamily=missense,subfamily,46,25
gene=MAGI2|family=substitution:no_change,family,46,43
gene=MAGI2|subfamily=no_change,subfamily,46,43
gene=MAP2K3|family=substitution:missense,family,46,40
gene=MAP2K3|subfamily=missense,subfamily,46,40
gene=MEP1B|family=substitution:missense,family,46,28
gene=MEP1B|subfamily=missense,subfamily,46,28
gene=NF1|frameshift_grammar=short_ref_position,frameshift_grammar,46,16
gene=NF1|subfamily=short_ref_position,subfamily,46,16
gene=NFX1|family=substitution:missense,family,46,42
gene=NFX1|subfamily=missense,subfamily,46,42
gene=NR4A2|family=substitution:missense,family,46,32
gene=NR4A2|subfamily=missense,subfamily,46,32
gene=OLFM1|family=substitution:missense,family,46,32
gene=OLFM1|subfamily=missense,subfamily,46,32
gene=PNPLA8|family=substitution:missense,family,46,26
gene=PNPLA8|subfamily=missense,subfamily,46,26
gene=PYGB|family=substitution:missense,family,46,39
gene=PYGB|subfamily=missense,subfamily,46,39
gene=SERPINA10|family=substitution:missense,family,46,34
gene=SERPINA10|subfamily=missense,subfamily,46,34
gene=SLC27A2|family=substitution:missense,family,46,31
gene=SLC27A2|subfamily=missense,subfamily,46,31
gene=STAT3|family=substitution:missense,family,46,31
gene=STAT3|subfamily=missense,subfamily,46,31
gene=STRN|family=substitution:missense,family,46,20
gene=STRN|subfamily=missense,subfamily,46,20
gene=SYNJ2|family=substitution:no_change,family,46,20
gene=SYNJ2|subfamily=no_change,subfamily,46,20
gene=TGM2|family=substitution:missense,family,46,28
gene=TGM2|subfamily=missense,subfamily,46,28
gene=TNFRSF21|family=substitution:missense,family,46,29
gene=TNFRSF21|subfamily=missense,subfamily,46,29
gene=TP53|aa_transition=C>F,aa_transition,46,24
gene=TP53|aa_transition=Q>STOP,aa_transition,46,30
gene=TP63|family=substitution:no_change,family,46,20
gene=TP63|subfamily=no_change,subfamily,46,20
gene=ITGA3|family=substitution:missense,family,39,46
gene=ITGA3|subfamily=missense,subfamily,39,46
gene=DCBLD2|family=substitution:missense,family,35,46
gene=DCBLD2|subfamily=missense,subfamily,35,46
gene=ALOX15B|family=substitution:missense,family,34,46
gene=ALOX15B|subfamily=missense,subfamily,34,46
gene=APC|position_bin=501-600,position_bin,25,46
gene=CAMK2B|family=substitution:missense,family,25,46
gene=CAMK2B|subfamily=missense,subfamily,25,46
gene=THBD|family=substitution:missense,family,15,46
gene=THBD|subfamily=missense,subfamily,15,46
gene=RETSAT|position_bin=501-600,position_bin,13,46
gene=SLC23A2|family=frameshift,family,13,46
gene=SLC23A2|parse_status=partial,parse_status,13,46
gene=AGO4|position_bin=1-100,position_bin,12,46
gene=DTX2|position_bin=301-400,position_bin,8,46
gene=PPP2R5B|position_bin=1-100,position_bin,8,46
gene=SHOX2|position_bin=1-100,position_bin,7,46
gene=KMT2D|aa_transition=E>D,aa_transition,1,46
gene=MST1|position_bin=1-100,position_bin,0,46
gene=ABLIM1|family=substitution:missense,family,45,35
gene=ABLIM1|subfamily=missense,subfamily,45,35
gene=ACSM1|family=substitution:no_change,family,45,20
gene=ACSM1|subfamily=no_change,subfamily,45,21
gene=AMBN|family=substitution:missense,family,45,35
gene=AMBN|subfamily=missense,subfamily,45,35
gene=ANGPT1|family=substitution:missense,family,45,28
gene=ANGPT1|subfamily=missense,subfamily,45,28
gene=ATRX|family=substitution:no_change,family,45,15
gene=ATRX|subfamily=no_change,subfamily,45,15
gene=BACH1|family=substitution:missense,family,45,27
gene=BACH1|subfamily=missense,subfamily,45,27
gene=CAD|family=substitution:no_change,family,45,38
gene=CAD|subfamily=no_change,subfamily,45,38
gene=CHST8|family=substitution:missense,family,45,29
gene=CHST8|subfamily=missense,subfamily,45,29
gene=CPN1|family=substitution:missense,family,45,20
gene=CPN1|subfamily=missense,subfamily,45,20
gene=CTNNA1|family=substitution:missense,family,45,45
gene=CTNNA1|subfamily=missense,subfamily,45,45
gene=CXXC1|family=substitution:missense,family,45,37
gene=CXXC1|subfamily=missense,subfamily,45,37
gene=CYP1A2|family=substitution:missense,family,45,26
gene=CYP1A2|subfamily=missense,subfamily,45,26
gene=CYP7A1|family=substitution:missense,family,45,35
gene=CYP7A1|subfamily=missense,subfamily,45,35
gene=ELL2|family=substitution:missense,family,45,20
gene=ELL2|subfamily=missense,subfamily,45,20
gene=ETV1|family=substitution:missense,family,45,39
gene=ETV1|subfamily=missense,subfamily,45,39
gene=EXOC2|family=substitution:missense,family,45,28
gene=EXOC2|subfamily=missense,subfamily,45,28
gene=FLII|family=substitution:missense,family,45,43
gene=FLII|subfamily=missense,subfamily,45,43
gene=GATA3|family=substitution:missense,family,45,42
gene=GATA3|subfamily=missense,subfamily,45,42
gene=GDA|family=substitution:missense,family,45,17
gene=GDA|subfamily=missense,subfamily,45,17
gene=HSP90AA1|family=substitution:missense,family,45,31
gene=HSP90AA1|subfamily=missense,subfamily,45,31
gene=KCND1|family=substitution:missense,family,45,27
gene=KCND1|subfamily=missense,subfamily,45,27
gene=KDM7A|family=substitution:missense,family,45,28
gene=KDM7A|subfamily=missense,subfamily,45,28
gene=MAP3K1|frameshift_grammar=short_ref_position,frameshift_grammar,45,9
gene=MAP3K1|subfamily=short_ref_position,subfamily,45,9
gene=MAP4K3|family=substitution:missense,family,45,35
gene=MAP4K3|subfamily=missense,subfamily,45,35
gene=MYOM1|family=substitution:no_change,family,45,31
gene=MYOM1|subfamily=no_change,subfamily,45,31
gene=NDST1|family=substitution:missense,family,45,29
gene=NDST1|subfamily=missense,subfamily,45,29
gene=NEDD9|family=substitution:missense,family,45,32
gene=NEDD9|subfamily=missense,subfamily,45,32
gene=NEGR1|family=substitution:missense,family,45,21
gene=NEGR1|subfamily=missense,subfamily,45,21
